"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"17,9";"18,1";"17,8";"96,0";"96,0";"96,0";"17,2";"17,4";"17,1";"923,3";"923,3";"922,7";"2,7";"78,0";"7,6";"";"0,0"
"01/09/2025";"0100";"17,8";"17,9";"17,6";"95,0";"96,0";"95,0";"17,0";"17,2";"16,8";"923,4";"923,4";"923,2";"2,1";"98,0";"6,4";"";"0,0"
"01/09/2025";"0200";"17,1";"17,8";"16,9";"100,0";"100,0";"95,0";"17,1";"17,1";"16,9";"923,9";"923,9";"923,4";"1,8";"88,0";"6,3";"";"0,0"
"01/09/2025";"0300";"17,0";"17,1";"16,9";"";"100,0";"100,0";"";"17,1";"16,9";"923,6";"923,9";"923,6";"2,2";"92,0";"5,5";"";"0,0"
"01/09/2025";"0400";"16,4";"17,0";"16,4";"100,0";"100,0";"100,0";"16,4";"17,0";"16,4";"923,1";"923,6";"923,1";"2,2";"101,0";"5,4";"";"0,0"
"01/09/2025";"0500";"15,9";"16,4";"15,9";"";"100,0";"100,0";"";"16,4";"15,9";"922,8";"923,1";"922,7";"2,2";"106,0";"5,5";"";"0,0"
"01/09/2025";"0600";"16,0";"16,2";"15,8";"";"";"";"";"";"";"922,4";"922,8";"922,4";"2,3";"101,0";"5,1";"";"0,0"
"01/09/2025";"0700";"16,0";"16,2";"15,9";"100,0";"100,0";"100,0";"16,0";"16,2";"16,0";"922,1";"922,4";"922,1";"1,9";"117,0";"6,0";"";"0,0"
"01/09/2025";"0800";"16,1";"16,2";"16,0";"100,0";"100,0";"100,0";"16,1";"16,2";"16,0";"922,4";"922,4";"922,1";"1,5";"101,0";"4,6";"";"0,0"
"01/09/2025";"0900";"15,9";"16,1";"15,9";"100,0";"";"";"15,9";"";"";"922,7";"922,7";"922,4";"1,6";"101,0";"5,9";"";"0,0"
"01/09/2025";"1000";"16,2";"16,2";"15,7";"100,0";"100,0";"100,0";"16,1";"16,2";"15,7";"923,2";"923,3";"922,7";"1,7";"111,0";"5,2";"80,30";"0,0"
"01/09/2025";"1100";"17,1";"18,1";"16,2";"93,0";"100,0";"90,0";"15,9";"16,6";"15,8";"924,2";"924,2";"923,2";"3,9";"131,0";"7,2";"760,70";"0,0"
"01/09/2025";"1200";"18,3";"19,0";"17,0";"85,0";"95,0";"85,0";"15,8";"16,6";"15,7";"924,9";"924,9";"924,2";"3,5";"113,0";"7,3";"1128,20";"0,0"
"01/09/2025";"1300";"19,3";"19,9";"18,3";"79,0";"86,0";"78,0";"15,6";"16,6";"15,3";"925,0";"925,1";"924,8";"3,2";"111,0";"10,1";"1536,20";"0,0"
"01/09/2025";"1400";"20,8";"21,0";"19,3";"72,0";"79,0";"70,0";"15,5";"16,6";"15,1";"924,6";"925,1";"924,5";"4,0";"111,0";"9,3";"1724,10";"0,0"
"01/09/2025";"1500";"22,9";"24,0";"20,8";"67,0";"72,0";"64,0";"16,6";"17,0";"15,3";"923,8";"924,6";"923,8";"3,6";"109,0";"9,6";"3220,00";"0,0"
"01/09/2025";"1600";"22,5";"23,8";"20,8";"73,0";"79,0";"67,0";"17,5";"17,8";"16,3";"923,0";"923,8";"923,0";"3,7";"106,0";"9,7";"2474,60";"0,0"
